"Extracted from the UNHCR Population Statistics Reference Database","United Nations High Commissioner for Refugees"
"Date extracted: 2016-09-17 19:20:55 +02:00"

Year,"Country / territory of asylum/residence",Origin,"Refugees (incl. refugee-like situations)"
2015,Austria,"Bolivia (Plurinational State of)",11
2015,Austria,China,499
2015,Austria,"Côte d'Ivoire",65
2015,Austria,Cameroon,246
2015,Austria,"Dem. Rep. of the Congo",419
2015,Austria,Congo,126
2015,Austria,Colombia,11
2015,Austria,Cuba,21
2015,Austria,Algeria,52
2015,Austria,Egypt,137
2015,Austria,Eritrea,159
2015,Austria,Ethiopia,145
2015,Austria,Gabon,*
2015,Austria,Georgia,681
2015,Austria,Ghana,33
2015,Austria,Guinea,126
2015,Austria,Gambia,122
2015,Austria,Guinea-Bissau,*
2015,Austria,Guatemala,6
2015,Austria,India,61
2015,Austria,"Iran (Islamic Rep. of)",3379
2015,Austria,Iraq,3732
2015,Austria,Israel,10
2015,Austria,Jordan,30
2015,Austria,Kazakhstan,66
2015,Austria,Kenya,29
2015,Austria,Kyrgyzstan,273
2015,Austria,Kuwait,*
2015,Austria,Lebanon,63
2015,Austria,Liberia,22
2015,Austria,Libya,24
2015,Austria,"Sri Lanka",54
2015,Austria,Morocco,23
2015,Austria,"Rep. of Moldova",121
2015,Austria,"The former Yugoslav Republic of Macedonia",136
2015,Austria,Mali,12
2015,Austria,Myanmar,34
2015,Austria,Montenegro,16
2015,Austria,Mongolia,200
2015,Austria,Mauritania,5
2015,Austria,Niger,*
2015,Austria,Nigeria,393
2015,Austria,Nepal,47
2015,Austria,Pakistan,203
2015,Austria,Philippines,7
2015,Austria,Romania,20
2015,Austria,"Russian Federation",15526
2015,Austria,Rwanda,21
2015,Austria,Sudan,277
2015,Austria,Senegal,8
2015,Austria,"Sierra Leone",30
2015,Austria,Somalia,3406
2015,Austria,"Serbia and Kosovo (S/RES/1244 (1999))",2199
2015,Austria,"South Sudan",*
2015,Austria,"Syrian Arab Rep.",14894
2015,Austria,Chad,*
2015,Austria,Togo,14
2015,Austria,Tajikistan,97
2015,Austria,Turkmenistan,6
2015,Austria,Tunisia,8
2015,Austria,Turkey,1125
2015,Austria,"United Rep. of Tanzania",*
2015,Austria,Uganda,16
2015,Austria,Ukraine,287
2015,Austria,Uzbekistan,140
2015,Austria,"Viet Nam",32
2015,Austria,Stateless,2457
2015,Austria,Various/Unknown,178
2015,Austria,Yemen,30
2015,Austria,"South Africa",5
2015,Austria,Zimbabwe,23
2015,Azerbaijan,Afghanistan,602
2015,Azerbaijan,Azerbaijan,0
2015,Azerbaijan,Georgia,0
2015,Azerbaijan,"Iran (Islamic Rep. of)",71
2015,Azerbaijan,Iraq,16
2015,Azerbaijan,Pakistan,18
2015,Azerbaijan,"Russian Federation",539
2015,Azerbaijan,"Syrian Arab Rep.",8
2015,Azerbaijan,Ukraine,15
2015,Azerbaijan,Stateless,0
2015,Azerbaijan,Yemen,*
2015,Burundi,Angola,0
2015,Burundi,Burundi,0
2015,Burundi,Benin,0
2015,Burundi,"Dem. Rep. of the Congo",53029
2015,Burundi,Mali,5
2015,Burundi,Rwanda,304
2015,Burundi,Somalia,18
2015,Burundi,Swaziland,0
2015,Burundi,Stateless,0
2015,Belgium,Afghanistan,2934
2015,Belgium,Angola,100
2015,Belgium,Albania,484
2015,Belgium,Armenia,126
2015,Belgium,Azerbaijan,76
2015,Belgium,Burundi,311
2015,Belgium,Benin,33
2015,Belgium,"Burkina Faso",72
2015,Belgium,Bangladesh,19
2015,Belgium,Bulgaria,19
2015,Belgium,"Bosnia and Herzegovina",52
2015,Belgium,Belarus,48
2015,Belgium,"Central African Rep.",31
2015,Belgium,Chile,49
2015,Belgium,China,1305
2015,Belgium,"Côte d'Ivoire",165
2015,Belgium,Cameroon,386
2015,Belgium,"Dem. Rep. of the Congo",1008
2015,Belgium,Congo,35
2015,Belgium,Colombia,36
2015,Belgium,Cuba,*
2015,Belgium,"Czech Rep.",6
2015,Belgium,Djibouti,228
2015,Belgium,Algeria,47
2015,Belgium,Egypt,59
2015,Belgium,Eritrea,700
2015,Belgium,Ethiopia,103
2015,Belgium,Gabon,14
2015,Belgium,Georgia,51
2015,Belgium,Ghana,35
2015,Belgium,Guinea,3150
2015,Belgium,Gambia,10
2015,Belgium,Guinea-Bissau,11
2015,Belgium,Guatemala,7
2015,Belgium,Honduras,0
2015,Belgium,Croatia,6
2015,Belgium,Hungary,54
2015,Belgium,India,22
2015,Belgium,"Iran (Islamic Rep. of)",934
2015,Belgium,Iraq,1943
2015,Belgium,Israel,15
2015,Belgium,Jordan,31
2015,Belgium,Kazakhstan,41
2015,Belgium,Kenya,32
2015,Belgium,Kyrgyzstan,70
2015,Belgium,Cambodia,9
2015,Belgium,Kuwait,7
2015,Belgium,"Lao People's Dem. Rep.",13
2015,Belgium,Lebanon,109
2015,Belgium,Liberia,18
2015,Belgium,Libya,39
2015,Belgium,"Sri Lanka",387
2015,Belgium,Lithuania,7
2015,Belgium,Morocco,61
2015,Belgium,"The former Yugoslav Republic of Macedonia",101
2015,Belgium,Mali,62
2015,Belgium,Myanmar,10
2015,Belgium,Mongolia,0
2015,Belgium,Mauritania,211
2015,Belgium,Niger,83
2015,Belgium,Nigeria,37
2015,Belgium,Nepal,13
2015,Belgium,Pakistan,188
2015,Belgium,Poland,167
2015,Belgium,"Dem. People's Rep. of Korea",46
2015,Belgium,Palestinian,90
2015,Belgium,Romania,41
2015,Belgium,"Russian Federation",2733
2015,Belgium,Rwanda,897
2015,Belgium,Sudan,123
2015,Belgium,Senegal,404
2015,Belgium,"Sierra Leone",30
2015,Belgium,"El Salvador",6
2015,Belgium,Somalia,648
2015,Belgium,"Serbia and Kosovo (S/RES/1244 (1999))",92
2015,Belgium,Slovakia,0
2015,Belgium,"Syrian Arab Rep.",4239
2015,Belgium,Chad,41
2015,Belgium,Togo,174
2015,Belgium,Tajikistan,13
2015,Belgium,Tunisia,30
2015,Belgium,Turkey,627
2015,Belgium,"United Rep. of Tanzania",62
2015,Belgium,Uganda,27
2015,Belgium,Ukraine,122
2015,Belgium,Uzbekistan,22
2015,Belgium,"Venezuela (Bolivarian Republic of)",6
2015,Belgium,"Viet Nam",42
2015,Belgium,Stateless,0
2015,Belgium,Various/Unknown,8345
2015,Belgium,Yemen,27
2015,Benin,"Central African Rep.",349
2015,Benin,"Côte d'Ivoire",157
2015,Benin,"Sri Lanka",5
2015,Benin,Mali,5
2015,Benin,Pakistan,5
2015,"Burkina Faso",Burundi,31
2015,"Burkina Faso","Central African Rep.",153
2015,"Burkina Faso","Côte d'Ivoire",*
2015,"Burkina Faso",Cameroon,5
2015,"Burkina Faso","Dem. Rep. of the Congo",25
2015,"Burkina Faso",Congo,42
2015,"Burkina Faso",Mali,33574
2015,"Burkina Faso",Rwanda,46
2015,"Burkina Faso",Sudan,9
2015,"Burkina Faso",Chad,112
2015,"Burkina Faso",Togo,15
2015,Bangladesh,Myanmar,231948
2015,Bangladesh,Somalia,6
2015,Bulgaria,Afghanistan,197
2015,Bulgaria,Armenia,25
2015,Bulgaria,Azerbaijan,*
2015,Bulgaria,Bangladesh,7
2015,Bulgaria,"Côte d'Ivoire",*
2015,Bulgaria,Cameroon,0
2015,Bulgaria,"Dem. Rep. of the Congo",*
2015,Bulgaria,Congo,7
2015,Bulgaria,Algeria,*
2015,Bulgaria,Egypt,8
2015,Bulgaria,Eritrea,5
2015,Bulgaria,Ethiopia,12
2015,Bulgaria,Georgia,*
2015,Bulgaria,Ghana,0
2015,Bulgaria,Gambia,*
2015,Bulgaria,India,*
2015,Bulgaria,"Iran (Islamic Rep. of)",72
2015,Bulgaria,Iraq,1339
2015,Bulgaria,Jordan,7
2015,Bulgaria,Lebanon,18
2015,Bulgaria,Libya,*
2015,Bulgaria,"Sri Lanka",*
2015,Bulgaria,Morocco,*
2015,Bulgaria,Mali,*
2015,Bulgaria,Myanmar,0
2015,Bulgaria,Nigeria,0
2015,Bulgaria,Pakistan,7
2015,Bulgaria,"Russian Federation",0
2015,Bulgaria,Rwanda,*
2015,Bulgaria,Sudan,20
2015,Bulgaria,Somalia,46
2015,Bulgaria,"Syrian Arab Rep.",13819
2015,Bulgaria,Tunisia,*
2015,Bulgaria,Turkey,11
2015,Bulgaria,Ukraine,0
2015,Bulgaria,Stateless,913
2015,Bahrain,Iraq,237
2015,Bahrain,Jordan,0
2015,Bahrain,Yemen,9
2015,Bahamas,Cuba,7
2015,Bahamas,Various/Unknown,0
2015,"Bosnia and Herzegovina",Armenia,0
2015,"Bosnia and Herzegovina","Bosnia and Herzegovina",0
2015,"Bosnia and Herzegovina",Croatia,6679
2015,"Bosnia and Herzegovina",Iraq,*
2015,"Bosnia and Herzegovina","The former Yugoslav Republic of Macedonia",5
2015,"Bosnia and Herzegovina",Palestinian,5
2015,"Bosnia and Herzegovina","Sierra Leone",0
2015,"Bosnia and Herzegovina","Serbia and Kosovo (S/RES/1244 (1999))",86
2015,"Bosnia and Herzegovina","Syrian Arab Rep.",14
2015,"Bosnia and Herzegovina",Stateless,0
2015,Belarus,Afghanistan,403
2015,Belarus,Azerbaijan,14
2015,Belarus,Egypt,6
2015,Belarus,Ethiopia,8
2015,Belarus,Georgia,81
2015,Belarus,"Iran (Islamic Rep. of)",10
2015,Belarus,Iraq,9
2015,Belarus,Libya,11
2015,Belarus,Palestinian,6
2015,Belarus,"Syrian Arab Rep.",138
2015,Belarus,Tajikistan,12
2015,Belarus,Ukraine,1089
2015,Belarus,Stateless,0
2015,Belarus,Yemen,13
2015,Belize,Belize,0
2015,Belize,Guatemala,0
2015,Belize,Honduras,*
2015,Belize,"El Salvador",34
2015,"Bolivia (Plurinational State of)",Chile,8
2015,"Bolivia (Plurinational State of)",Colombia,193
2015,"Bolivia (Plurinational State of)",Cuba,9
2015,"Bolivia (Plurinational State of)",Iraq,16
2015,"Bolivia (Plurinational State of)",Peru,514
2015,"Bolivia (Plurinational State of)","Russian Federation",5
2015,"Bolivia (Plurinational State of)","Syrian Arab Rep.",7
2015,Brazil,Afghanistan,76
2015,Brazil,Angola,1083
2015,Brazil,Argentina,11
2015,Brazil,Burundi,37
2015,Brazil,Benin,0
2015,Brazil,"Burkina Faso",*
2015,Brazil,Bangladesh,5
2015,Brazil,"Bolivia (Plurinational State of)",150
2015,Brazil,Bhutan,29
2015,Brazil,Chile,21
2015,Brazil,China,*
2015,Brazil,"Côte d'Ivoire",44
2015,Brazil,Cameroon,32
2015,Brazil,"Dem. Rep. of the Congo",1045
2015,Brazil,Congo,17
2015,Brazil,Colombia,1280
2015,Brazil,"Cabo Verde",*
2015,Brazil,Cuba,143
2015,Brazil,"Dominican Rep.",*
2015,Brazil,Algeria,7
2015,Brazil,Ecuador,57
2015,Brazil,Egypt,13
2015,Brazil,Eritrea,25
2015,Brazil,Spain,0
2015,Brazil,Ethiopia,20
2015,Brazil,France,0
2015,Brazil,Georgia,10
2015,Brazil,Ghana,18
2015,Brazil,Guinea,53
2015,Brazil,Gambia,6
2015,Brazil,Guinea-Bissau,14
2015,Brazil,Guyana,0
2015,Brazil,Croatia,5
2015,Brazil,Haiti,*
2015,Brazil,India,*
2015,Brazil,"Iran (Islamic Rep. of)",52
2015,Brazil,Iraq,261
2015,Brazil,Israel,0
2015,Brazil,Italy,0
2015,Brazil,Jordan,*
2015,Brazil,Kenya,0
2015,Brazil,"Rep. of Korea",0
2015,Brazil,Kuwait,*
2015,Brazil,Lebanon,399
2015,Brazil,Liberia,258
2015,Brazil,Libya,*
2015,Brazil,"Sri Lanka",18
2015,Brazil,Morocco,5
2015,Brazil,Mexico,5
2015,Brazil,"The former Yugoslav Republic of Macedonia",6
2015,Brazil,Mali,67
2015,Brazil,Mozambique,*
2015,Brazil,Mauritania,*
2015,Brazil,Namibia,0
2015,Brazil,Nigeria,100
2015,Brazil,Nepal,5
2015,Brazil,Pakistan,133
2015,Brazil,Peru,45
2015,Brazil,Philippines,*
2015,Brazil,Portugal,0
2015,Brazil,Paraguay,7
2015,Brazil,Palestinian,384
2015,Brazil,"Russian Federation",9
2015,Brazil,Rwanda,18
2015,Brazil,Sudan,58
2015,Brazil,Senegal,9
2015,Brazil,"Sierra Leone",139
2015,Brazil,"El Salvador",7
2015,Brazil,Somalia,45
2015,Brazil,"Serbia and Kosovo (S/RES/1244 (1999))",92
2015,Brazil,"Sao Tome and Principe",0
2015,Brazil,"Syrian Arab Rep.",2271
2015,Brazil,Togo,17
2015,Brazil,Thailand,0
2015,Brazil,Tunisia,0
2015,Brazil,Turkey,0
2015,Brazil,"United Rep. of Tanzania",5
2015,Brazil,Uganda,*
2015,Brazil,Ukraine,*
2015,Brazil,"United States of America",*
2015,Brazil,"Venezuela (Bolivarian Republic of)",17
2015,Brazil,Stateless,10
2015,Brazil,"South Africa",*
2015,"Brunei Darussalam",Stateless,0
2015,Botswana,Burundi,44
2015,Botswana,"Dem. Rep. of the Congo",80
2015,Botswana,Eritrea,10
2015,Botswana,Ethiopia,5
2015,Botswana,Namibia,914
2015,Botswana,Rwanda,28
2015,Botswana,Sudan,11
2015,Botswana,Somalia,330
2015,Botswana,Uganda,22
2015,Botswana,Zimbabwe,678
2015,"Central African Rep.",Angola,15
2015,"Central African Rep.",Burundi,26
2015,"Central African Rep.","Burkina Faso",7
2015,"Central African Rep.","Central African Rep.",0
2015,"Central African Rep.","Côte d'Ivoire",14
2015,"Central African Rep.","Dem. Rep. of the Congo",4798
2015,"Central African Rep.",Congo,10
2015,"Central African Rep.",Guinea,5
2015,"Central African Rep.",Liberia,10
2015,"Central African Rep.",Rwanda,173
2015,"Central African Rep.",Sudan,1987
2015,"Central African Rep.","South Sudan",40
2015,"Central African Rep.","Syrian Arab Rep.",0
2015,"Central African Rep.",Chad,237
2015,"Central African Rep.",Togo,0
2015,Canada,Afghanistan,2890
2015,Canada,Angola,226
2015,Canada,Albania,1243
2015,Canada,"United Arab Emirates",29
2015,Canada,Argentina,85
2015,Canada,Armenia,180
2015,Canada,"Antigua and Barbuda",51
2015,Canada,Australia,6
2015,Canada,Azerbaijan,291
2015,Canada,Burundi,2074
2015,Canada,Belgium,16
2015,Canada,Benin,46
2015,Canada,"Burkina Faso",124
2015,Canada,Bangladesh,1112
2015,Canada,Bulgaria,432
2015,Canada,Bahrain,15
2015,Canada,Bahamas,31
2015,Canada,"Bosnia and Herzegovina",64
2015,Canada,Belarus,182
2015,Canada,Belize,10
2015,Canada,"Bolivia (Plurinational State of)",105
2015,Canada,Brazil,124
2015,Canada,Barbados,95
2015,Canada,Bhutan,22
2015,Canada,Botswana,284
2015,Canada,"Central African Rep.",53
2015,Canada,Switzerland,11
2015,Canada,Chile,102
2015,Canada,China,11415
2015,Canada,"Côte d'Ivoire",398
2015,Canada,Cameroon,1103
2015,Canada,"Dem. Rep. of the Congo",3316
2015,Canada,Congo,201
2015,Canada,Colombia,13666
2015,Canada,"Costa Rica",190
2015,Canada,Cuba,1512
2015,Canada,"Czech Rep.",259
2015,Canada,Germany,81
2015,Canada,Djibouti,350
2015,Canada,Dominica,18
2015,Canada,Denmark,6
2015,Canada,"Dominican Rep.",172
2015,Canada,Algeria,355
2015,Canada,Ecuador,176
2015,Canada,Egypt,752
2015,Canada,Eritrea,1811
2015,Canada,Spain,25
2015,Canada,Estonia,10
2015,Canada,Ethiopia,2047
2015,Canada,Fiji,127
2015,Canada,France,42
2015,Canada,Gabon,47
2015,Canada,"United Kingdom",60
2015,Canada,Georgia,449
2015,Canada,Ghana,301
2015,Canada,Guinea,648
2015,Canada,Gambia,82
2015,Canada,Guinea-Bissau,15
2015,Canada,"Equatorial Guinea",8
2015,Canada,Greece,24
2015,Canada,Grenada,239
2015,Canada,Guatemala,935
2015,Canada,Guyana,391
2015,Canada,"China, Hong Kong SAR",28
2015,Canada,Honduras,889
2015,Canada,Croatia,96
2015,Canada,Haiti,8807
2015,Canada,Hungary,973
2015,Canada,Indonesia,308
2015,Canada,India,3712
2015,Canada,Ireland,*
2015,Canada,"Iran (Islamic Rep. of)",2639
2015,Canada,Iraq,1892
2015,Canada,Israel,494
2015,Canada,Italy,18
2015,Canada,Jamaica,813
2015,Canada,Jordan,383
2015,Canada,Japan,23
2015,Canada,Kazakhstan,114
2015,Canada,Kenya,815
2015,Canada,Kyrgyzstan,82
2015,Canada,Cambodia,153
2015,Canada,"Saint Kitts and Nevis",20
2015,Canada,"Rep. of Korea",174
2015,Canada,Kuwait,38
2015,Canada,"Lao People's Dem. Rep.",5
2015,Canada,Lebanon,867
2015,Canada,Liberia,139
2015,Canada,Libya,230
2015,Canada,"Saint Lucia",992
2015,Canada,"Sri Lanka",8807
2015,Canada,Lesotho,6
2015,Canada,Lithuania,62
2015,Canada,Latvia,62
2015,Canada,Morocco,167
2015,Canada,"Rep. of Moldova",179
2015,Canada,Madagascar,16
2015,Canada,Mexico,6414
2015,Canada,"The former Yugoslav Republic of Macedonia",92
2015,Canada,Mali,74
2015,Canada,Myanmar,223
2015,Canada,Montenegro,21
2015,Canada,Mongolia,131
2015,Canada,Mozambique,6
2015,Canada,Mauritania,248
2015,Canada,Mauritius,*
2015,Canada,Malawi,29
2015,Canada,Malaysia,91
2015,Canada,Namibia,282
2015,Canada,Niger,85
2015,Canada,Nigeria,4502
2015,Canada,Nicaragua,142
2015,Canada,Netherlands,44
2015,Canada,Nepal,1304
2015,Canada,Oman,13
2015,Canada,Pakistan,7207
2015,Canada,Panama,39
2015,Canada,Peru,1080
2015,Canada,Philippines,277
2015,Canada,Poland,175
2015,Canada,"Dem. People's Rep. of Korea",126
2015,Canada,Portugal,9
2015,Canada,Paraguay,42
2015,Canada,Palestinian,534
2015,Canada,Qatar,6
2015,Canada,Romania,334
2015,Canada,"Russian Federation",1178
2015,Canada,Rwanda,1620
2015,Canada,"Saudi Arabia",101
2015,Canada,Sudan,509
2015,Canada,Senegal,241
2015,Canada,Singapore,27
2015,Canada,"Solomon Islands",39
2015,Canada,"Sierra Leone",121
2015,Canada,"El Salvador",1403
2015,Canada,Somalia,2531
2015,Canada,"Serbia and Kosovo (S/RES/1244 (1999))",398
2015,Canada,Suriname,8
2015,Canada,Slovakia,63
2015,Canada,Slovenia,9
2015,Canada,Swaziland,134
2015,Canada,Seychelles,9
2015,Canada,"Syrian Arab Rep.",1513
2015,Canada,Chad,415
2015,Canada,Togo,188
2015,Canada,Thailand,33
2015,Canada,Tibetan,58
2015,Canada,Tajikistan,53
2015,Canada,Turkmenistan,18
2015,Canada,"Trinidad and Tobago",243
2015,Canada,Tunisia,199
2015,Canada,Turkey,1991
2015,Canada,"United Rep. of Tanzania",257
2015,Canada,Uganda,713
2015,Canada,Ukraine,1314
2015,Canada,Uruguay,73
2015,Canada,"United States of America",4573
2015,Canada,Uzbekistan,271
2015,Canada,"Saint Vincent and the Grenadines",1778
2015,Canada,"Venezuela (Bolivarian Republic of)",729
2015,Canada,"Viet Nam",114
2015,Canada,Stateless,1503
2015,Canada,Various/Unknown,88
2015,Canada,Yemen,215
2015,Canada,"South Africa",52
2015,Canada,Zambia,48
2015,Canada,Zimbabwe,2368
2015,Switzerland,Afghanistan,4686
2015,Switzerland,Angola,918
2015,Switzerland,Albania,64
2015,Switzerland,Armenia,120
2015,Switzerland,Azerbaijan,79
2015,Switzerland,Burundi,67
2015,Switzerland,Benin,28
2015,Switzerland,"Burkina Faso",17
2015,Switzerland,Bangladesh,56
2015,Switzerland,Bulgaria,11
2015,Switzerland,"Bosnia and Herzegovina",2274
2015,Switzerland,Belarus,40
2015,Switzerland,Brazil,11
2015,Switzerland,"Central African Rep.",11
2015,Switzerland,Chile,10
2015,Switzerland,China,3022
2015,Switzerland,"Côte d'Ivoire",178
2015,Switzerland,Cameroon,215
2015,Switzerland,"Dem. Rep. of the Congo",1346
2015,Switzerland,Congo,71
2015,Switzerland,Colombia,274
2015,Switzerland,Cuba,42
2015,Switzerland,"Czech Rep.",6
2015,Switzerland,Djibouti,8
2015,Switzerland,Algeria,158
2015,Switzerland,Ecuador,11
2015,Switzerland,Egypt,86
2015,Switzerland,Eritrea,21000
2015,Switzerland,"Western Sahara",7
2015,Switzerland,Ethiopia,1019
2015,Switzerland,Georgia,100
2015,Switzerland,Ghana,15
2015,Switzerland,Guinea,125
2015,Switzerland,Gambia,50
2015,Switzerland,Guinea-Bissau,54
2015,Switzerland,Croatia,43
2015,Switzerland,Hungary,9
2015,Switzerland,India,47
2015,Switzerland,"Iran (Islamic Rep. of)",1604
2015,Switzerland,Iraq,3501
2015,Switzerland,Israel,*
2015,Switzerland,Italy,6
2015,Switzerland,Jordan,44
2015,Switzerland,Kazakhstan,12
2015,Switzerland,Kenya,42
2015,Switzerland,Kyrgyzstan,23
2015,Switzerland,Cambodia,342
2015,Switzerland,"Lao People's Dem. Rep.",136
2015,Switzerland,Lebanon,44
2015,Switzerland,Liberia,49
