"Extracted from the UNHCR Population Statistics Reference Database","United Nations High Commissioner for Refugees"
"Date extracted: 2016-09-17 19:23:19 +02:00"

Year,"Country / territory of asylum/residence",Origin,"Refugees (incl. refugee-like situations)"
2010,Australia,Switzerland,1
2010,Australia,Chile,1
2010,Australia,China,2201
2010,Australia,"Côte d'Ivoire",7
2010,Australia,Cameroon,51
2010,Australia,"Dem. Rep. of the Congo",27
2010,Australia,Congo,19
2010,Australia,"Cook Islands",
2010,Australia,Colombia,148
2010,Australia,Cuba,6
2010,Australia,"Czech Rep.",1
2010,Australia,Germany,1
2010,Australia,Djibouti,1
2010,Australia,Denmark,2
2010,Australia,"Dominican Rep.",
2010,Australia,Algeria,20
2010,Australia,Ecuador,4
2010,Australia,Egypt,350
2010,Australia,Eritrea,67
2010,Australia,Ethiopia,168
2010,Australia,Fiji,144
2010,Australia,France,4
2010,Australia,"United Kingdom",2
2010,Australia,Georgia,9
2010,Australia,Ghana,28
2010,Australia,Guinea,10
2010,Australia,Gambia,3
2010,Australia,Guinea-Bissau,1
2010,Australia,Greece,4
2010,Australia,Guyana,1
2010,Australia,Croatia,4
2010,Australia,Indonesia,231
2010,Australia,India,139
2010,Australia,Ireland,
2010,Australia,"Iran (Islamic Rep. of)",1327
2010,Australia,Iraq,3791
2010,Australia,Israel,31
2010,Australia,Italy,2
2010,Australia,Jamaica,
2010,Australia,Jordan,69
2010,Australia,Japan,1
2010,Australia,Kazakhstan,4
2010,Australia,Kenya,38
2010,Australia,Kyrgyzstan,21
2010,Australia,Cambodia,16
2010,Australia,"Rep. of Korea",24
2010,Australia,Kuwait,22
2010,Australia,"Lao People's Dem. Rep.",4
2010,Australia,Lebanon,209
2010,Australia,Liberia,18
2010,Australia,Libya,9
2010,Australia,"Sri Lanka",2373
2010,Australia,Lithuania,
2010,Australia,Latvia,6
2010,Australia,Morocco,13
2010,Australia,"The former Yugoslav Republic of Macedonia",
2010,Australia,Mali,3
2010,Australia,Malta,1
2010,Australia,Myanmar,444
2010,Australia,Mongolia,43
2010,Australia,Mozambique,1
2010,Australia,Mauritania,4
2010,Australia,Mauritius,
2010,Australia,Malawi,1
2010,Australia,Malaysia,43
2010,Australia,Niger,1
2010,Australia,Nigeria,101
2010,Australia,Netherlands,
2010,Australia,Nepal,154
2010,Australia,"New Zealand",1
2010,Australia,Pakistan,747
2010,Australia,Peru,6
2010,Australia,Philippines,14
2010,Australia,"Papua New Guinea",87
2010,Australia,Poland,1
2010,Australia,"Dem. People's Rep. of Korea",25
2010,Australia,Palestinian,172
2010,Australia,Romania,18
2010,Australia,"Russian Federation",118
2010,Australia,Rwanda,23
2010,Australia,"Saudi Arabia",22
2010,Australia,Sudan,57
2010,Australia,Senegal,4
2010,Australia,Singapore,5
2010,Australia,"Solomon Islands",32
2010,Australia,"Sierra Leone",33
2010,Australia,"El Salvador",5
2010,Australia,Somalia,74
2010,Australia,"Serbia and Kosovo (S/RES/1244 (1999))",93
2010,Australia,Sweden,1
2010,Australia,"Syrian Arab Rep.",68
2010,Australia,Chad,2
2010,Australia,Togo,4
2010,Australia,Thailand,13
2010,Australia,Tibetan,7
2010,Australia,Tajikistan,1
2010,Australia,Turkmenistan,2
2010,Australia,Timor-Leste,8
2010,Australia,Tonga,3
2010,Australia,Tunisia,15
2010,Australia,Turkey,224
2010,Australia,"United Rep. of Tanzania",11
2010,Australia,Uganda,33
2010,Australia,Ukraine,42
2010,Australia,"United States of America",8
2010,Australia,Uzbekistan,29
2010,Australia,"Venezuela (Bolivarian Republic of)",7
2010,Australia,"Viet Nam",52
2010,Australia,Vanuatu,1
2010,Australia,Samoa,1
2010,Australia,Stateless,347
2010,Australia,Various/Unknown,226
2010,Australia,Yemen,6
2010,Australia,"South Africa",25
2010,Australia,Zambia,5
2010,Australia,Zimbabwe,775
2010,Austria,Afghanistan,7359
2010,Austria,Angola,173
2010,Austria,Albania,180
2010,Austria,Armenia,855
2010,Austria,Austria,
2010,Austria,Azerbaijan,381
2010,Austria,Burundi,24
2010,Austria,Benin,5
2010,Austria,"Burkina Faso",7
2010,Austria,Bangladesh,64
2010,Austria,Bulgaria,5
2010,Austria,"Bosnia and Herzegovina",211
2010,Austria,Belarus,96
2010,Austria,"Bolivia (Plurinational State of)",15
2010,Austria,Brazil,1
2010,Austria,Bhutan,1
2010,Austria,Canada,
2010,Austria,China,225
2010,Austria,"Côte d'Ivoire",28
2010,Austria,Cameroon,199
2010,Austria,"Dem. Rep. of the Congo",427
2010,Austria,Congo,102
2010,Austria,Colombia,22
2010,Austria,Cuba,21
2010,Austria,"Czech Rep.",1
2010,Austria,Germany,
2010,Austria,"Dominican Rep.",
2010,Austria,Algeria,33
2010,Austria,Egypt,40
2010,Austria,Eritrea,63
2010,Austria,Estonia,3
2010,Austria,Ethiopia,127
2010,Austria,France,1
2010,Austria,Gabon,
2010,Austria,Georgia,730
2010,Austria,Ghana,35
2010,Austria,Guinea,47
2010,Austria,Gambia,71
2010,Austria,Guinea-Bissau,2
2010,Austria,"Equatorial Guinea",1
2010,Austria,Guatemala,5
2010,Austria,Croatia,8
2010,Austria,Haiti,
2010,Austria,Indonesia,1
2010,Austria,India,43
2010,Austria,"Iran (Islamic Rep. of)",2357
2010,Austria,Iraq,2320
2010,Austria,Israel,2
2010,Austria,Jamaica,
2010,Austria,Jordan,9
2010,Austria,Kazakhstan,34
2010,Austria,Kenya,11
2010,Austria,Kyrgyzstan,217
2010,Austria,Cambodia,1
2010,Austria,"Rep. of Korea",1
2010,Austria,Kuwait,
2010,Austria,"Lao People's Dem. Rep.",1
2010,Austria,Lebanon,36
2010,Austria,Liberia,27
2010,Austria,Libya,2
2010,Austria,"Sri Lanka",31
2010,Austria,Lithuania,
2010,Austria,Latvia,2
2010,Austria,Morocco,14
2010,Austria,"Rep. of Moldova",137
2010,Austria,Madagascar,2
2010,Austria,Maldives,
2010,Austria,Mexico,1
2010,Austria,"The former Yugoslav Republic of Macedonia",161
2010,Austria,Mali,1
2010,Austria,Myanmar,7
2010,Austria,Montenegro,12
2010,Austria,Mongolia,131
2010,Austria,Mauritania,6
2010,Austria,Mauritius,
2010,Austria,Niger,1
2010,Austria,Nigeria,228
2010,Austria,Nepal,35
2010,Austria,Pakistan,69
2010,Austria,Peru,3
2010,Austria,Philippines,6
2010,Austria,Poland,1
2010,Austria,"Dem. People's Rep. of Korea",
2010,Austria,Romania,40
2010,Austria,"Russian Federation",17229
2010,Austria,Rwanda,54
2010,Austria,Sudan,191
2010,Austria,Senegal,3
2010,Austria,"Sierra Leone",46
2010,Austria,Somalia,1093
2010,Austria,"Serbia and Kosovo (S/RES/1244 (1999))",3353
2010,Austria,Slovakia,4
2010,Austria,Slovenia,
2010,Austria,"Syrian Arab Rep.",505
2010,Austria,Chad,3
2010,Austria,Togo,27
2010,Austria,Thailand,
2010,Austria,Tajikistan,44
2010,Austria,Turkmenistan,14
2010,Austria,Tunisia,13
2010,Austria,Turkey,1288
2010,Austria,Uganda,18
2010,Austria,Ukraine,282
2010,Austria,"United States of America",1
2010,Austria,Uzbekistan,117
2010,Austria,"Viet Nam",42
2010,Austria,Stateless,443
2010,Austria,Various/Unknown,313
2010,Austria,Yemen,9
2010,Austria,"South Africa",2
2010,Austria,Zambia,
2010,Austria,Zimbabwe,18
2010,Azerbaijan,Afghanistan,718
2010,Azerbaijan,Armenia,3
2010,Azerbaijan,Azerbaijan,
2010,Azerbaijan,"Dem. Rep. of the Congo",1
2010,Azerbaijan,"Iran (Islamic Rep. of)",104
2010,Azerbaijan,Iraq,23
2010,Azerbaijan,Pakistan,3
2010,Azerbaijan,Palestinian,11
2010,Azerbaijan,"Russian Federation",1028
2010,Azerbaijan,Uzbekistan,
2010,Burundi,Angola,
2010,Burundi,Burundi,
2010,Burundi,Benin,6
2010,Burundi,Cameroon,
2010,Burundi,"Dem. Rep. of the Congo",28957
2010,Burundi,Comoros,
2010,Burundi,Mauritania,8
2010,Burundi,Rwanda,366
2010,Burundi,Somalia,17
2010,Burundi,Uganda,10
2010,Burundi,Zambia,1
2010,Belgium,Afghanistan,501
2010,Belgium,Angola,117
2010,Belgium,Albania,216
2010,Belgium,"United Arab Emirates",2
2010,Belgium,Armenia,61
2010,Belgium,Azerbaijan,26
2010,Belgium,Burundi,255
2010,Belgium,Belgium,
2010,Belgium,Benin,2
2010,Belgium,"Burkina Faso",24
2010,Belgium,Bangladesh,10
2010,Belgium,Bulgaria,24
2010,Belgium,"Bosnia and Herzegovina",67
2010,Belgium,Belarus,76
2010,Belgium,"Bolivia (Plurinational State of)",4
2010,Belgium,Bhutan,2
2010,Belgium,"Central African Rep.",18
2010,Belgium,Chile,59
2010,Belgium,China,441
2010,Belgium,"Côte d'Ivoire",185
2010,Belgium,Cameroon,266
2010,Belgium,"Dem. Rep. of the Congo",689
2010,Belgium,Congo,31
2010,Belgium,Colombia,33
2010,Belgium,Cuba,1
2010,Belgium,"Czech Rep.",11
2010,Belgium,Germany,3
2010,Belgium,Djibouti,68
2010,Belgium,"Dominican Rep.",1
2010,Belgium,Algeria,35
2010,Belgium,Egypt,9
2010,Belgium,Eritrea,36
2010,Belgium,Spain,4
2010,Belgium,Estonia,3
2010,Belgium,Ethiopia,87
2010,Belgium,Gabon,2
2010,Belgium,Georgia,19
2010,Belgium,Ghana,9
2010,Belgium,Guinea,979
2010,Belgium,Guinea-Bissau,9
2010,Belgium,Guatemala,5
2010,Belgium,Croatia,8
2010,Belgium,Haiti,6
2010,Belgium,Hungary,88
2010,Belgium,India,3
2010,Belgium,"Iran (Islamic Rep. of)",341
2010,Belgium,Iraq,962
2010,Belgium,Israel,1
2010,Belgium,Jordan,17
2010,Belgium,Kazakhstan,13
2010,Belgium,Kenya,18
2010,Belgium,Kyrgyzstan,10
2010,Belgium,Cambodia,13
2010,Belgium,"Lao People's Dem. Rep.",16
2010,Belgium,Lebanon,62
2010,Belgium,Liberia,21
2010,Belgium,Libya,10
2010,Belgium,"Sri Lanka",212
2010,Belgium,Lithuania,17
2010,Belgium,Latvia,5
2010,Belgium,Morocco,16
2010,Belgium,"Rep. of Moldova",3
2010,Belgium,"The former Yugoslav Republic of Macedonia",22
2010,Belgium,Mali,5
2010,Belgium,Myanmar,11
2010,Belgium,Mauritania,128
2010,Belgium,Namibia,1
2010,Belgium,Niger,15
2010,Belgium,Nigeria,37
2010,Belgium,Nicaragua,1
2010,Belgium,Nepal,19
2010,Belgium,Pakistan,45
2010,Belgium,Peru,4
2010,Belgium,Poland,274
2010,Belgium,"Dem. People's Rep. of Korea",22
2010,Belgium,Portugal,1
2010,Belgium,Palestinian,122
2010,Belgium,Romania,40
2010,Belgium,"Russian Federation",2964
2010,Belgium,Rwanda,981
2010,Belgium,Sudan,63
2010,Belgium,Senegal,75
2010,Belgium,"Sierra Leone",30
2010,Belgium,Somalia,117
2010,Belgium,"Serbia and Kosovo (S/RES/1244 (1999))",1040
2010,Belgium,"Syrian Arab Rep.",229
2010,Belgium,Chad,49
2010,Belgium,Togo,123
2010,Belgium,Tibetan,16
2010,Belgium,Tunisia,11
2010,Belgium,Turkey,510
2010,Belgium,"United Rep. of Tanzania",28
2010,Belgium,Uganda,13
2010,Belgium,Ukraine,86
2010,Belgium,Uruguay,3
2010,Belgium,Uzbekistan,33
2010,Belgium,"Viet Nam",59
2010,Belgium,Various/Unknown,4478
2010,Belgium,Yemen,3
2010,Belgium,"South Africa",2
2010,Benin,Angola,5
2010,Benin,Burundi,23
2010,Benin,"Burkina Faso",1
2010,Benin,"Bosnia and Herzegovina",1
2010,Benin,"Central African Rep.",11
2010,Benin,"Côte d'Ivoire",57
2010,Benin,Cameroon,12
2010,Benin,"Dem. Rep. of the Congo",380
2010,Benin,Congo,271
2010,Benin,Algeria,2
2010,Benin,Ghana,1
2010,Benin,Guinea,7
2010,Benin,"Equatorial Guinea",11
2010,Benin,"Iran (Islamic Rep. of)",1
2010,Benin,Iraq,6
2010,Benin,Liberia,3
2010,Benin,"Sri Lanka",
2010,Benin,Niger,1
2010,Benin,Nigeria,63
2010,Benin,Rwanda,141
2010,Benin,Sudan,8
2010,Benin,Somalia,4
2010,Benin,"Syrian Arab Rep.",1
2010,Benin,Chad,214
2010,Benin,Togo,5912
2010,Benin,"Viet Nam",3
2010,Bonaire,Eritrea,
2010,"Burkina Faso",Angola,
2010,"Burkina Faso",Burundi,61
2010,"Burkina Faso","Central African Rep.",2
2010,"Burkina Faso","Côte d'Ivoire",21
2010,"Burkina Faso",Cameroon,8
2010,"Burkina Faso","Dem. Rep. of the Congo",42
2010,"Burkina Faso",Congo,98
2010,"Burkina Faso",Algeria,
2010,"Burkina Faso",Ghana,2
2010,"Burkina Faso",Guinea,3
2010,"Burkina Faso","Sri Lanka",
2010,"Burkina Faso",Mali,3
2010,"Burkina Faso",Mauritania,1
2010,"Burkina Faso",Niger,
2010,"Burkina Faso",Nigeria,
2010,"Burkina Faso",Rwanda,77
2010,"Burkina Faso",Sudan,6
2010,"Burkina Faso",Senegal,
2010,"Burkina Faso",Chad,170
2010,"Burkina Faso",Togo,32
2010,"Burkina Faso","Viet Nam",5
2010,Bangladesh,"Iran (Islamic Rep. of)",4
2010,Bangladesh,Iraq,3
2010,Bangladesh,"Sri Lanka",3
2010,Bangladesh,Myanmar,229226
2010,Bangladesh,Palestinian,2
2010,Bangladesh,Somalia,15
2010,Bulgaria,Afghanistan,2048
2010,Bulgaria,Angola,5
2010,Bulgaria,Albania,10
2010,Bulgaria,Armenia,32
2010,Bulgaria,Azerbaijan,3
2010,Bulgaria,Burundi,3
2010,Bulgaria,Benin,2
2010,Bulgaria,"Burkina Faso",
2010,Bulgaria,Bangladesh,15
2010,Bulgaria,Bahrain,
2010,Bulgaria,"Bosnia and Herzegovina",35
2010,Bulgaria,Belarus,2
2010,Bulgaria,China,
2010,Bulgaria,"Côte d'Ivoire",2
2010,Bulgaria,Cameroon,5
2010,Bulgaria,"Dem. Rep. of the Congo",33
2010,Bulgaria,Congo,26
2010,Bulgaria,Colombia,
2010,Bulgaria,Comoros,
2010,Bulgaria,Cuba,6
2010,Bulgaria,Algeria,21
2010,Bulgaria,Egypt,4
2010,Bulgaria,Eritrea,10
2010,Bulgaria,Ethiopia,60
2010,Bulgaria,Georgia,3
2010,Bulgaria,Ghana,1
2010,Bulgaria,Guinea,2
2010,Bulgaria,Gambia,
2010,Bulgaria,India,2
2010,Bulgaria,"Iran (Islamic Rep. of)",244
2010,Bulgaria,Iraq,1990
2010,Bulgaria,Jordan,3
2010,Bulgaria,Kyrgyzstan,
2010,Bulgaria,Lebanon,28
2010,Bulgaria,Liberia,12
2010,Bulgaria,Libya,1
2010,Bulgaria,"Sri Lanka",4
2010,Bulgaria,Lithuania,
2010,Bulgaria,Morocco,
2010,Bulgaria,"Rep. of Moldova",
2010,Bulgaria,"The former Yugoslav Republic of Macedonia",
2010,Bulgaria,Mali,1
2010,Bulgaria,Mongolia,
2010,Bulgaria,Mauritania,
2010,Bulgaria,Malaysia,
2010,Bulgaria,Nigeria,10
2010,Bulgaria,Nepal,2
2010,Bulgaria,Pakistan,1
2010,Bulgaria,Peru,
2010,Bulgaria,"Russian Federation",8
2010,Bulgaria,Rwanda,3
2010,Bulgaria,Sudan,186
2010,Bulgaria,Senegal,1
2010,Bulgaria,"Sierra Leone",12
2010,Bulgaria,Somalia,129
2010,Bulgaria,"Serbia and Kosovo (S/RES/1244 (1999))",118
2010,Bulgaria,"Syrian Arab Rep.",95
2010,Bulgaria,Chad,
2010,Bulgaria,Tajikistan,
2010,Bulgaria,Turkmenistan,1
2010,Bulgaria,Tunisia,12
2010,Bulgaria,Turkey,97
2010,Bulgaria,"United Rep. of Tanzania",4
2010,Bulgaria,Uganda,1
2010,Bulgaria,Ukraine,
2010,Bulgaria,Uzbekistan,
2010,Bulgaria,Stateless,232
2010,Bulgaria,Various/Unknown,
2010,Bulgaria,Yemen,2
2010,Bulgaria,"South Africa",
2010,Bulgaria,Zambia,1
2010,Bulgaria,Zimbabwe,2
2010,Bahrain,Egypt,
2010,Bahrain,Ethiopia,
2010,Bahrain,Iraq,165
2010,Bahamas,Cuba,27
2010,Bahamas,Haiti,
2010,Bahamas,Nigeria,1
2010,"Bosnia and Herzegovina",Afghanistan,
2010,"Bosnia and Herzegovina","Bosnia and Herzegovina",
2010,"Bosnia and Herzegovina",China,
2010,"Bosnia and Herzegovina",Cameroon,
2010,"Bosnia and Herzegovina",Algeria,1
2010,"Bosnia and Herzegovina",Ethiopia,
2010,"Bosnia and Herzegovina",France,
2010,"Bosnia and Herzegovina",Croatia,6836
2010,"Bosnia and Herzegovina",Haiti,
2010,"Bosnia and Herzegovina","Iran (Islamic Rep. of)",
2010,"Bosnia and Herzegovina",Iraq,
2010,"Bosnia and Herzegovina","Sri Lanka",1
2010,"Bosnia and Herzegovina","Rep. of Moldova",3
2010,"Bosnia and Herzegovina","The former Yugoslav Republic of Macedonia",4
2010,"Bosnia and Herzegovina",Montenegro,1
2010,"Bosnia and Herzegovina",Nigeria,
2010,"Bosnia and Herzegovina",Pakistan,
2010,"Bosnia and Herzegovina",Palestinian,4
2010,"Bosnia and Herzegovina","Russian Federation",
2010,"Bosnia and Herzegovina","Saudi Arabia",1
2010,"Bosnia and Herzegovina","Serbia and Kosovo (S/RES/1244 (1999))",163
2010,"Bosnia and Herzegovina","Syrian Arab Rep.",1
2010,"Bosnia and Herzegovina",Tunisia,1
2010,Belarus,Afghanistan,417
2010,Belarus,Armenia,3
2010,Belarus,Azerbaijan,25
2010,Belarus,Belarus,
2010,Belarus,Ethiopia,10
2010,Belarus,Georgia,96
2010,Belarus,India,1
2010,Belarus,"Iran (Islamic Rep. of)",14
2010,Belarus,Iraq,1
2010,Belarus,Liberia,1
2010,Belarus,Palestinian,5
2010,Belarus,"Russian Federation",
2010,Belarus,Rwanda,1
2010,Belarus,Tajikistan,15
2010,Belarus,Ukraine,
2010,Belarus,Uzbekistan,
2010,Belarus,Stateless,
2010,Belize,Guatemala,
2010,Belize,Honduras,
2010,Belize,Nepal,
2010,Belize,"El Salvador",134
2010,"Bolivia (Plurinational State of)",Angola,1
2010,"Bolivia (Plurinational State of)",Chile,8
2010,"Bolivia (Plurinational State of)",Cameroon,1
2010,"Bolivia (Plurinational State of)",Congo,1
2010,"Bolivia (Plurinational State of)",Colombia,127
2010,"Bolivia (Plurinational State of)",Cuba,9
2010,"Bolivia (Plurinational State of)",Ecuador,2
2010,"Bolivia (Plurinational State of)",Ethiopia,2
2010,"Bolivia (Plurinational State of)",Ghana,1
2010,"Bolivia (Plurinational State of)",Honduras,1
2010,"Bolivia (Plurinational State of)",Iraq,16
2010,"Bolivia (Plurinational State of)",Israel,1
2010,"Bolivia (Plurinational State of)",Peru,515
2010,"Bolivia (Plurinational State of)",Portugal,1
2010,"Bolivia (Plurinational State of)","Russian Federation",5
2010,"Bolivia (Plurinational State of)","Serbia and Kosovo (S/RES/1244 (1999))",1
2010,"Bolivia (Plurinational State of)",Slovakia,1
2010,"Bolivia (Plurinational State of)","Syrian Arab Rep.",
2010,"Bolivia (Plurinational State of)",Ukraine,1
2010,"Bolivia (Plurinational State of)","Venezuela (Bolivarian Republic of)",1
2010,Brazil,Afghanistan,22
2010,Brazil,Angola,1686
2010,Brazil,Argentina,11
2010,Brazil,Armenia,3
2010,Brazil,Burundi,33
2010,Brazil,"Burkina Faso",1
2010,Brazil,Bangladesh,
2010,Brazil,"Bosnia and Herzegovina",4
2010,Brazil,"Bolivia (Plurinational State of)",119
2010,Brazil,Bhutan,7
2010,Brazil,"Central African Rep.",3
2010,Brazil,Chile,21
2010,Brazil,China,
2010,Brazil,"Côte d'Ivoire",16
2010,Brazil,Cameroon,6
2010,Brazil,"Dem. Rep. of the Congo",443
2010,Brazil,Congo,8
2010,Brazil,Colombia,602
2010,Brazil,"Cabo Verde",1
2010,Brazil,Cuba,133
2010,Brazil,"Dominican Rep.",2
2010,Brazil,Algeria,7
2010,Brazil,Ecuador,26
2010,Brazil,Egypt,4
2010,Brazil,Eritrea,20
2010,Brazil,Ethiopia,20
2010,Brazil,Georgia,10
2010,Brazil,Ghana,6
2010,Brazil,Guinea,4
2010,Brazil,Gambia,2
2010,Brazil,Guinea-Bissau,10
2010,Brazil,Guatemala,2
2010,Brazil,Croatia,5
2010,Brazil,Haiti,3
2010,Brazil,Hungary,
2010,Brazil,India,
2010,Brazil,"Iran (Islamic Rep. of)",31
2010,Brazil,Iraq,202
2010,Brazil,Israel,
2010,Brazil,Italy,
2010,Brazil,Jordan,1
2010,Brazil,Kenya,
2010,Brazil,Kuwait,1
2010,Brazil,Lebanon,29
2010,Brazil,Liberia,258
2010,Brazil,Libya,2
2010,Brazil,"Sri Lanka",5
2010,Brazil,Morocco,4
2010,Brazil,"The former Yugoslav Republic of Macedonia",6
2010,Brazil,Mali,3
2010,Brazil,Mozambique,1
2010,Brazil,Mauritania,2
2010,Brazil,Nigeria,29
2010,Brazil,Nicaragua,1
2010,Brazil,Nepal,2
2010,Brazil,Pakistan,16
2010,Brazil,Peru,45
2010,Brazil,Poland,2
2010,Brazil,Paraguay,7
2010,Brazil,Palestinian,117
2010,Brazil,Romania,1
2010,Brazil,"Russian Federation",9
2010,Brazil,Rwanda,18
2010,Brazil,Sudan,39
2010,Brazil,Senegal,
2010,Brazil,"Sierra Leone",136
2010,Brazil,"El Salvador",4
2010,Brazil,Somalia,36
